Ministry_Key,Des_Grp,Type,Display_Type,DesGrp_Count_Reg,DesGrp_Percent_Reg,NonDesGrp_Count_Reg,NonDesGrp_Percent_Reg,Total_Count_Reg,Total_Percent_Reg,DesGrp_Count_Aux,DesGrp_Percent_Aux,NonDesGrp_Count_Aux,NonDesGrp_Percent_Aux,Total_Count_Aux,Total_Percent_Aux
LBR,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,33,100.0,<3,<3,<3,<3,2,100.0
LBR,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,34,100.0,,,,,,
LBR,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,8,100.0,,,,,0,100.0
LBR,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,16,100.0,,,,,0,100.0
LBR,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,24,100.0,,,,,0,100.0
LBR,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,1,100.0
LBR,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,28,100.0,<3,<3,<3,<3,2,100.0
LBR,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,15,100.0,,,,,0,100.0
LBR,DIS,Separations_Total,Total Separations,3,7.0,40,93.0,43,100.0,<3,<3,<3,<3,2,100.0
LBR,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,3,100.0
MAH,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,9,100.0,,,,,,
MAH,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,77,100.0,,,,,0,100.0
MAH,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,64,100.0,3,15.0,17,85.0,20,100.0
MAH,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,141,100.0,3,15.0,17,85.0,20,100.0
MAH,DIS,Hiring_TotalReg,Total New Regulars to Ministry,4,2.7,146,97.3,150,100.0,,,,,,
MAH,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,62,100.0,,,,,0,100.0
MAH,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,52,100.0,<3,<3,<3,<3,1,100.0
MAH,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,114,100.0,<3,<3,<3,<3,1,100.0
MAH,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,9,100.0
MAH,DIS,Separations_BCPS,Left BC Government,4,6.2,61,93.8,65,100.0,<3,<3,S,S,5,100.0
MAH,DIS,Separations_Other,Moved to Other Ministry,5,10.0,45,90.0,50,100.0,,,,,0,100.0
MAH,DIS,Separations_Total,Total Separations,9,7.8,106,92.2,115,100.0,<3,<3,S,S,5,100.0
MAH,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,14,100.0
MHA,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,,,,,0,100.0,,,,,,
MHA,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,29,100.0,,,,,0,100.0
MHA,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,8,100.0,<3,<3,S,S,4,100.0
MHA,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,37,100.0,<3,<3,S,S,4,100.0
MHA,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,37,100.0,,,,,,
MHA,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,21,100.0,,,,,0,100.0
MHA,DIS,Promotions_Same,Promoted Within Same Organization,,,,,0,100.0,,,,,0,100.0
MHA,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,21,100.0,,,,,0,100.0
MHA,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,,,,,0,100.0
MHA,DIS,Separations_BCPS,Left BC Government,,,,,0,100.0,,,,,0,100.0
MHA,DIS,Separations_Other,Moved to Other Ministry,,,,,0,100.0,,,,,0,100.0
MHA,DIS,Separations_Total,Total Separations,,,,,0,100.0,,,,,0,100.0
MHA,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,,,,,0,100.0
PGT,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,8,100.0,,,,,,
PGT,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,5,100.0,<3,<3,<3,<3,1,100.0
PGT,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,41,100.0,<3,<3,S,S,23,100.0
PGT,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,46,100.0,<3,<3,S,S,24,100.0
PGT,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,54,100.0,,,,,,
PGT,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,4,100.0,,,,,0,100.0
PGT,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,31,100.0,<3,<3,<3,<3,1,100.0
PGT,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,35,100.0,<3,<3,<3,<3,1,100.0
PGT,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,8,100.0
PGT,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,46,100.0,<3,<3,S,S,4,100.0
PGT,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,14,100.0,,,,,0,100.0
PGT,DIS,Separations_Total,Total Separations,<3,<3,S,S,60,100.0,<3,<3,S,S,4,100.0
PGT,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,12,100.0
PO,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,,,,,0,100.0,,,,,,
PO,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,15,100.0,,,,,0,100.0
PO,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,13,100.0,<3,<3,<3,<3,2,100.0
PO,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,28,100.0,<3,<3,<3,<3,2,100.0
PO,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,28,100.0,,,,,,
PO,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,13,100.0,,,,,0,100.0
PO,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,5,100.0,,,,,0,100.0
PO,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,18,100.0,,,,,0,100.0
PO,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,,,,,0,100.0
PO,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,14,100.0,,,,,0,100.0
PO,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,6,100.0,<3,<3,<3,<3,1,100.0
PO,DIS,Separations_Total,Total Separations,<3,<3,S,S,20,100.0,<3,<3,<3,<3,1,100.0
PO,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,<3,<3,1,100.0
PSSG,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,61,100.0,,,,,,
PSSG,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,118,100.0,<3,<3,S,S,6,100.0
PSSG,DIS,Hiring_Outside,Hired from Outside,21,2.5,808,97.5,829,100.0,S,S,S,S,99,100.0
PSSG,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,947,100.0,8,7.6,97,92.4,105,100.0
PSSG,DIS,Hiring_TotalReg,Total New Regulars to Ministry,28,2.8,980,97.2,1008,100.0,,,,,,
PSSG,DIS,Promotions_Other,Promoted from Other Organization,4,4.8,80,95.2,84,100.0,<3,<3,<3,<3,1,100.0
PSSG,DIS,Promotions_Same,Promoted Within Same Organization,7,2.1,321,97.9,328,100.0,<3,<3,S,S,4,100.0
PSSG,DIS,Promotions_Total,Total Promotions,11,2.7,401,97.3,412,100.0,<3,<3,S,S,5,100.0
PSSG,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,61,100.0
PSSG,DIS,Separations_BCPS,Left BC Government,20,4.1,473,95.9,493,100.0,<3,<3,S,S,41,100.0
PSSG,DIS,Separations_Other,Moved to Other Ministry,5,4.2,114,95.8,119,100.0,<3,<3,S,S,11,100.0
PSSG,DIS,Separations_Total,Total Separations,25,4.1,587,95.9,612,100.0,<3,<3,S,S,52,100.0
PSSG,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,4,3.5,109,96.5,113,100.0
SDPR,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,16,100.0,,,,,,
SDPR,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,104,100.0,,,,,0,100.0
SDPR,DIS,Hiring_Outside,Hired from Outside,22,6.2,335,93.8,357,100.0,6,28.6,15,71.4,21,100.0
SDPR,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,461,100.0,6,28.6,15,71.4,21,100.0
SDPR,DIS,Hiring_TotalReg,Total New Regulars to Ministry,27,5.7,450,94.3,477,100.0,,,,,,
SDPR,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,66,100.0,,,,,0,100.0
SDPR,DIS,Promotions_Same,Promoted Within Same Organization,S,S,S,S,195,100.0,,,,,0,100.0
SDPR,DIS,Promotions_Total,Total Promotions,10,3.8,251,96.2,261,100.0,,,,,0,100.0
SDPR,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,16,100.0
SDPR,DIS,Separations_BCPS,Left BC Government,41,11.9,304,88.1,345,100.0,<3,<3,S,S,37,100.0
SDPR,DIS,Separations_Other,Moved to Other Ministry,4,4.0,95,96.0,99,100.0,<3,<3,S,S,12,100.0
SDPR,DIS,Separations_Total,Total Separations,45,10.1,399,89.9,444,100.0,<3,<3,S,S,49,100.0
SDPR,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,3,4.6,62,95.4,65,100.0
TAC,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,<3,<3,1,100.0,,,,,,
TAC,DIS,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,21,100.0,,,,,0,100.0
TAC,DIS,Hiring_Outside,Hired from Outside,<3,<3,S,S,7,100.0,<3,<3,<3,<3,2,100.0
TAC,DIS,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,28,100.0,<3,<3,<3,<3,2,100.0
TAC,DIS,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,29,100.0,,,,,,
TAC,DIS,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,13,100.0,,,,,0,100.0
TAC,DIS,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,4,100.0,,,,,0,100.0
TAC,DIS,Promotions_Total,Total Promotions,<3,<3,S,S,17,100.0,,,,,0,100.0
TAC,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,1,100.0
TAC,DIS,Separations_BCPS,Left BC Government,<3,<3,S,S,10,100.0,<3,<3,<3,<3,1,100.0
TAC,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,14,100.0,<3,<3,<3,<3,1,100.0
TAC,DIS,Separations_Total,Total Separations,<3,<3,S,S,24,100.0,<3,<3,<3,<3,2,100.0
TAC,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,3,100.0
TRAN,DIS,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,9,100.0,,,,,,
TRAN,DIS,Hiring_Other,Hired from Other Ministry,S,S,S,S,72,100.0,<3,<3,<3,<3,2,100.0
TRAN,DIS,Hiring_Outside,Hired from Outside,7,3.4,200,96.6,207,100.0,S,S,S,S,81,100.0
TRAN,DIS,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,279,100.0,4,4.8,79,95.2,83,100.0
TRAN,DIS,Hiring_TotalReg,Total New Regulars to Ministry,10,3.5,278,96.5,288,100.0,,,,,,
TRAN,DIS,Promotions_Other,Promoted from Other Organization,3,5.9,48,94.1,51,100.0,<3,<3,<3,<3,2,100.0
TRAN,DIS,Promotions_Same,Promoted Within Same Organization,6,2.5,235,97.5,241,100.0,,,,,0,100.0
TRAN,DIS,Promotions_Total,Total Promotions,9,3.1,283,96.9,292,100.0,<3,<3,<3,<3,2,100.0
TRAN,DIS,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,9,100.0
TRAN,DIS,Separations_BCPS,Left BC Government,S,S,S,S,207,100.0,<3,<3,S,S,13,100.0
TRAN,DIS,Separations_Other,Moved to Other Ministry,<3,<3,S,S,46,100.0,<3,<3,<3,<3,1,100.0
TRAN,DIS,Separations_Total,Total Separations,12,4.7,241,95.3,253,100.0,<3,<3,S,S,14,100.0
TRAN,DIS,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,23,100.0
AEST,DIS,Employed_2018,Employed 2018,22,,304,,335,,4,,17,,22,
AG,DIS,Employed_2018,Employed 2018,113,,2869,,3122,,8,,134,,161,
AGRI,DIS,Employed_2018,Employed 2018,16,,270,,287,,<3,,<3,,39,
BCPSA,DIS,Employed_2018,Employed 2018,27,,449,,480,,4,,29,,33,
CFD,DIS,Employed_2018,Employed 2018,230,,3809,,4255,,22,,219,,322,
CITZ,DIS,Employed_2018,Employed 2018,80,,1440,,1557,,7,,90,,125,
EAO,DIS,Employed_2018,Employed 2018,5,,75,,80,,<3,,<3,,6,
EDUC,DIS,Employed_2018,Employed 2018,19,,315,,338,,<3,,<3,,16,
EMBC,DIS,Employed_2018,Employed 2018,3,,123,,128,,<3,,<3,,45,
EMPR,DIS,Employed_2018,Employed 2018,12,,279,,294,,3,,10,,17,
ENV,DIS,Employed_2018,Employed 2018,40,,784,,853,,3,,51,,56,
FIN,DIS,Employed_2018,Employed 2018,58,,1239,,1337,,<3,,<3,,45,
FLNRORD,DIS,Employed_2018,Employed 2018,155,,3269,,3511,,<3,,<3,,239,
GCPE,DIS,Employed_2018,Employed 2018,14,,257,,291,,<3,,<3,,9,
HLTH,DIS,Employed_2018,Employed 2018,72,,1077,,1173,,<3,,<3,,51,
IRR,DIS,Employed_2018,Employed 2018,14,,193,,208,,<3,,<3,,11,
JTT,DIS,Employed_2018,Employed 2018,5,,318,,334,,3,,18,,21,
LBR,DIS,Employed_2018,Employed 2018,10,,165,,178,,<3,,<3,,2,
MAH,DIS,Employed_2018,Employed 2018,18,,341,,369,,3,,18,,24,
MHA,DIS,Employed_2018,Employed 2018,<3,,<3,,37,,<3,,<3,,4,
PGT,DIS,Employed_2018,Employed 2018,11,,210,,235,,<3,,<3,,26,
PO,DIS,Employed_2018,Employed 2018,<3,,<3,,49,,<3,,<3,,3,
PSSG,DIS,Employed_2018,Employed 2018,105,,2679,,3054,,8,,105,,135,
SDPR,DIS,Employed_2018,Employed 2018,139,,1649,,1836,,6,,17,,25,
TAC,DIS,Employed_2018,Employed 2018,5,,56,,61,,<3,,<3,,3,
TRAN,DIS,Employed_2018,Employed 2018,47,,1204,,1286,,4,,74,,92,
BCPS,DIS,Employed_2018,Employed 2018,1222,,23456,,25688,,86,,1188,,1532,
AEST,DIS,Employed_2015,Employed 2015,13,,254,,271,,4,,16,,22,
AG,DIS,Employed_2015,Employed 2015,90,,2714,,2972,,<3,,<3,,128,
AGRI,DIS,Employed_2015,Employed 2015,16,,261,,281,,<3,,<3,,37,
BCPSA,DIS,Employed_2015,Employed 2015,20,,409,,433,,<3,,<3,,12,
CFD,DIS,Employed_2015,Employed 2015,180,,3456,,3865,,13,,205,,328,
CITZ,DIS,Employed_2015,Employed 2015,66,,1338,,1444,,<3,,<3,,109,
EDUC,DIS,Employed_2015,Employed 2015,9,,285,,303,,<3,,<3,,6,
EMBC,DIS,Employed_2015,Employed 2015,4,,72,,79,,<3,,<3,,10,
EMPR,DIS,Employed_2015,Employed 2015,6,,246,,254,,<3,,<3,,18,
ENV,DIS,Employed_2015,Employed 2015,18,,704,,750,,<3,,<3,,101,
FIN,DIS,Employed_2015,Employed 2015,45,,1104,,1191,,<3,,<3,,11,
FLNRORD,DIS,Employed_2015,Employed 2015,124,,3111,,3323,,3,,130,,160,
GCPE,DIS,Employed_2015,Employed 2015,11,,255,,278,,<3,,<3,,1,
HLTH,DIS,Employed_2015,Employed 2015,50,,1024,,1112,,<3,,<3,,16,
IRR,DIS,Employed_2015,Employed 2015,12,,197,,209,,<3,,<3,,13,
JTT,DIS,Employed_2015,Employed 2015,5,,301,,312,,<3,,<3,,25,
LBR,DIS,Employed_2015,Employed 2015,12,,168,,187,,<3,,<3,,3,
MAH,DIS,Employed_2015,Employed 2015,12,,315,,338,,<3,,<3,,14,
PGT,DIS,Employed_2015,Employed 2015,8,,213,,241,,<3,,<3,,14,
PO,DIS,Employed_2015,Employed 2015,<3,,<3,,41,,<3,,<3,,2,
PSSG,DIS,Employed_2015,Employed 2015,73,,2340,,2667,,4,,99,,134,
SDPR,DIS,Employed_2015,Employed 2015,132,,1642,,1807,,<3,,<3,,65,
TAC,DIS,Employed_2015,Employed 2015,<3,,<3,,56,,<3,,<3,,4,
TRAN,DIS,Employed_2015,Employed 2015,35,,1166,,1254,,<3,,<3,,29,
BCPS,DIS,Employed_2015,Employed 2015,946,,21743,,23747,,34,,923,,1262,
AEST,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,5,100.0,,,,,,
AEST,IND,Hiring_Other,Hired from Other Ministry,S,S,S,S,45,100.0,,,,,0,100.0
AEST,IND,Hiring_Outside,Hired from Outside,5,4.5,105,95.5,110,100.0,<3,<3,S,S,22,100.0
AEST,IND,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,155,100.0,<3,<3,S,S,22,100.0
AEST,IND,Hiring_TotalReg,Total New Regulars to Ministry,8,5.0,152,95.0,160,100.0,,,,,,
AEST,IND,Promotions_Other,Promoted from Other Organization,S,S,S,S,33,100.0,,,,,0,100.0
AEST,IND,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,31,100.0,,,,,0,100.0
AEST,IND,Promotions_Total,Total Promotions,4,6.3,60,93.8,64,100.0,,,,,0,100.0
AEST,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,5,100.0
AEST,IND,Separations_BCPS,Left BC Government,<3,<3,S,S,46,100.0,<3,<3,S,S,11,100.0
AEST,IND,Separations_Other,Moved to Other Ministry,<3,<3,S,S,50,100.0,<3,<3,S,S,6,100.0
AEST,IND,Separations_Total,Total Separations,3,3.1,93,96.9,96,100.0,<3,<3,S,S,17,100.0
AEST,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,22,100.0
AG,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,46,100.0,,,,,,
AG,IND,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,106,100.0,<3,<3,S,S,3,100.0
AG,IND,Hiring_Outside,Hired from Outside,25,4.0,597,96.0,622,100.0,S,S,S,S,108,100.0
AG,IND,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,728,100.0,3,2.7,108,97.3,111,100.0
AG,IND,Hiring_TotalReg,Total New Regulars to Ministry,28,3.6,746,96.4,774,100.0,,,,,,
AG,IND,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,68,100.0,<3,<3,<3,<3,1,100.0
AG,IND,Promotions_Same,Promoted Within Same Organization,S,S,S,S,313,100.0,<3,<3,S,S,3,100.0
AG,IND,Promotions_Total,Total Promotions,12,3.1,369,96.9,381,100.0,<3,<3,S,S,4,100.0
AG,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,46,100.0
AG,IND,Separations_BCPS,Left BC Government,13,2.6,496,97.4,509,100.0,<3,<3,S,S,42,100.0
AG,IND,Separations_Other,Moved to Other Ministry,5,5.2,91,94.8,96,100.0,<3,<3,S,S,9,100.0
AG,IND,Separations_Total,Total Separations,18,3.0,587,97.0,605,100.0,<3,<3,S,S,51,100.0
AG,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,4,4.1,93,95.9,97,100.0
AGRI,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,S,S,10,100.0,,,,,,
AGRI,IND,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,22,100.0,<3,<3,<3,<3,1,100.0
AGRI,IND,Hiring_Outside,Hired from Outside,<3,<3,S,S,53,100.0,<3,<3,S,S,30,100.0
AGRI,IND,Hiring_TotalNew,Total New Hires to Ministry,<3,<3,S,S,75,100.0,<3,<3,S,S,31,100.0
AGRI,IND,Hiring_TotalReg,Total New Regulars to Ministry,<3,<3,S,S,85,100.0,,,,,,
AGRI,IND,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,16,100.0,<3,<3,<3,<3,1,100.0
AGRI,IND,Promotions_Same,Promoted Within Same Organization,<3,<3,S,S,34,100.0,,,,,0,100.0
AGRI,IND,Promotions_Total,Total Promotions,<3,<3,S,S,50,100.0,<3,<3,<3,<3,1,100.0
AGRI,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,S,S,10,100.0
AGRI,IND,Separations_BCPS,Left BC Government,S,S,S,S,54,100.0,<3,<3,S,S,16,100.0
AGRI,IND,Separations_Other,Moved to Other Ministry,<3,<3,S,S,24,100.0,<3,<3,S,S,4,100.0
AGRI,IND,Separations_Total,Total Separations,4,5.1,74,94.9,78,100.0,<3,<3,S,S,20,100.0
AGRI,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,30,100.0
BCPS,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,17,3.8,434,96.2,451,100.0,,,,,,
BCPS,IND,Hiring_Other,Hired from Other Ministry,47,3.1,1452,96.9,1499,100.0,<3,<3,S,S,23,100.0
BCPS,IND,Hiring_Outside,Hired from Outside,236,4.2,5388,95.8,5624,100.0,S,S,S,S,1216,100.0
BCPS,IND,Hiring_TotalNew,Total New Hires to Ministry,283,4.0,6840,96.0,7123,100.0,84,6.8,1155,93.2,1239,100.0
BCPS,IND,Hiring_TotalReg,Total New Regulars to Ministry,300,4.0,7274,96.0,7574,100.0,,,,,,
BCPS,IND,Promotions_Other,Promoted from Other Organization,35,3.2,1070,96.8,1105,100.0,<3,<3,S,S,10,100.0
BCPS,IND,Promotions_Same,Promoted Within Same Organization,120,3.7,3133,96.3,3253,100.0,<3,<3,S,S,20,100.0
BCPS,IND,Promotions_Total,Total Promotions,155,3.6,4203,96.4,4358,100.0,<3,<3,S,S,30,100.0
BCPS,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,17,3.8,434,96.2,451,100.0
BCPS,IND,Separations_BCPS,Left BC Government,148,3.6,3989,96.4,4137,100.0,21,4.3,471,95.7,492,100.0
BCPS,IND,Separations_Other,Moved to Other Ministry,45,3.2,1356,96.8,1401,100.0,3,2.5,118,97.5,121,100.0
BCPS,IND,Separations_Total,Total Separations,193,3.5,5345,96.5,5538,100.0,24,3.9,589,96.1,613,100.0
BCPS,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,41,3.9,1023,96.1,1064,100.0
BCPSA,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,<3,<3,<3,<3,2,100.0,,,,,,
BCPSA,IND,Hiring_Other,Hired from Other Ministry,<3,<3,S,S,50,100.0,<3,<3,<3,<3,1,100.0
BCPSA,IND,Hiring_Outside,Hired from Outside,<3,<3,S,S,111,100.0,S,S,S,S,29,100.0
BCPSA,IND,Hiring_TotalNew,Total New Hires to Ministry,S,S,S,S,161,100.0,4,13.3,26,86.7,30,100.0
BCPSA,IND,Hiring_TotalReg,Total New Regulars to Ministry,4,2.5,159,97.5,163,100.0,,,,,,
BCPSA,IND,Promotions_Other,Promoted from Other Organization,<3,<3,S,S,43,100.0,<3,<3,<3,<3,1,100.0
BCPSA,IND,Promotions_Same,Promoted Within Same Organization,S,S,S,S,78,100.0,,,,,0,100.0
BCPSA,IND,Promotions_Total,Total Promotions,8,6.6,113,93.4,121,100.0,<3,<3,<3,<3,1,100.0
BCPSA,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,<3,<3,<3,<3,2,100.0
BCPSA,IND,Separations_BCPS,Left BC Government,<3,<3,S,S,62,100.0,<3,<3,S,S,9,100.0
BCPSA,IND,Separations_Other,Moved to Other Ministry,<3,<3,S,S,51,100.0,<3,<3,<3,<3,1,100.0
BCPSA,IND,Separations_Total,Total Separations,3,2.7,110,97.3,113,100.0,<3,<3,S,S,10,100.0
BCPSA,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,<3,<3,S,S,12,100.0
CFD,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,6,4.5,127,95.5,133,100.0,,,,,,
CFD,IND,Hiring_Other,Hired from Other Ministry,4,4.0,95,96.0,99,100.0,<3,<3,<3,<3,1,100.0
CFD,IND,Hiring_Outside,Hired from Outside,78,7.8,927,92.2,1005,100.0,S,S,S,S,240,100.0
CFD,IND,Hiring_TotalNew,Total New Hires to Ministry,82,7.4,1022,92.6,1104,100.0,18,7.5,223,92.5,241,100.0
CFD,IND,Hiring_TotalReg,Total New Regulars to Ministry,88,7.1,1149,92.9,1237,100.0,,,,,,
CFD,IND,Promotions_Other,Promoted from Other Organization,3,4.2,68,95.8,71,100.0,,,,,0,100.0
CFD,IND,Promotions_Same,Promoted Within Same Organization,27,6.4,397,93.6,424,100.0,,,,,0,100.0
CFD,IND,Promotions_Total,Total Promotions,30,6.1,465,93.9,495,100.0,,,,,0,100.0
CFD,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,6,4.5,127,95.5,133,100.0
CFD,IND,Separations_BCPS,Left BC Government,40,5.7,661,94.3,701,100.0,S,S,S,S,115,100.0
CFD,IND,Separations_Other,Moved to Other Ministry,7,5.6,118,94.4,125,100.0,<3,<3,S,S,20,100.0
CFD,IND,Separations_Total,Total Separations,47,5.7,779,94.3,826,100.0,8,5.9,127,94.1,135,100.0
CFD,IND,Separations_TotalAux,Total Flow out of Auxiliary,,,,,,,14,5.2,254,94.8,268,100.0
CITZ,IND,Hiring_AuxtoReg,Changed Status from Aux to Reg,5,11.4,39,88.6,44,100.0,,,,,,
CITZ,IND,Hiring_Other,Hired from Other Ministry,6,4.5,126,95.5,132,100.0,<3,<3,<3,<3,2,100.0
CITZ,IND,Hiring_Outside,Hired from Outside,8,2.6,297,97.4,305,100.0,S,S,S,S,91,100.0
CITZ,IND,Hiring_TotalNew,Total New Hires to Ministry,14,3.2,423,96.8,437,100.0,5,5.4,88,94.6,93,100.0
CITZ,IND,Hiring_TotalReg,Total New Regulars to Ministry,19,4.0,462,96.0,481,100.0,,,,,,
CITZ,IND,Promotions_Other,Promoted from Other Organization,3,3.1,95,96.9,98,100.0,<3,<3,<3,<3,1,100.0
CITZ,IND,Promotions_Same,Promoted Within Same Organization,10,4.3,220,95.7,230,100.0,,,,,0,100.0
CITZ,IND,Promotions_Total,Total Promotions,13,4.0,315,96.0,328,100.0,<3,<3,<3,<3,1,100.0
CITZ,IND,Separations_AuxtoReg,Changed Status from Aux to Reg,,,,,,,S,S,S,S,44,100.0
CITZ,IND,Separations_BCPS,Left BC Government,S,S,S,S,263,100.0,<3,<3,S,S,31,100.0
CITZ,IND,Separations_Other,Moved to Other Ministry,<3,<3,S,S,99,100.0,<3,<3,S,S,8,100.0
CITZ,IND,Separations_Total,Total Separations,14,3.9,348,96.1,362,100.0,<3,<3,S,S,39,100.0
