"Women, Representation by Occupation, Compared to the Available WorkforceEmployees",,,,,,,,,
,,,,,,,,,
Employee_Type,Occupation_Cat,Occupation,Women_Gov,Men_Gov,TotalEmployees_Gov,Women_Percent_Gov,Women_Percent_AvailableWorkforce,Women_UnderRep_Expected,Women_UnderRep_Shortfall
Employees_All,"Semi-Professionals, Technicians",Social Prog Off 14,1,1,2,50,96.5,,
Employees_All,"Semi-Professionals, Technicians",Social Worker Assistant,23,1,24,95.8,75.6,,
Employees_All,"Semi-Professionals, Technicians",Tech Enforcement Officer 11-18,9,21,30,30,27.4,,
Employees_All,"Semi-Professionals, Technicians",Tech Enforcement Officer 21,8,11,19,42.1,21.5,,
Employees_All,"Semi-Professionals, Technicians",Training Consultant,1,1,2,50,75.8,,
Employees_All,"Semi-Professionals, Technicians",*** TOTAL,1334,819,2153,62,53.7,,
Employees_All,Supervisors,Clerk 14,559,75,634,88.2,75.2,,
Employees_All,Supervisors,Clerk Stenographer 14,23,1,24,95.8,75.2,,
Employees_All,Supervisors,*** TOTAL,582,76,658,88.4,75.2,,
Employees_All,Administrative & Senior Clerical,Administrative Coordinator,1,0,1,100,88.3,,
Employees_All,Administrative & Senior Clerical,Administrative Officer 14-18,842,214,1056,79.7,73.1,,
Employees_All,Administrative & Senior Clerical,Applied Leadership,55,13,68,80.9,81,,
Employees_All,Administrative & Senior Clerical,Business Leadership,18,14,32,56.2,76.5,24,6
Employees_All,Administrative & Senior Clerical,Communications Officer 14-18,41,15,56,73.2,76.3,,
Employees_All,Administrative & Senior Clerical,Executive Administrative Asst,87,0,87,100,94.3,,
Employees_All,Administrative & Senior Clerical,Financial Officer 14-18,249,76,325,76.6,90.2,293,44
Employees_All,Administrative & Senior Clerical,Judicial Admin Assistant,1,0,1,100,96.6,,
Employees_All,Administrative & Senior Clerical,Research Officer 13-18,10,4,14,71.4,83.3,,
Employees_All,Administrative & Senior Clerical,Senior Executive Assistant,30,0,30,100,94.3,,
Employees_All,Administrative & Senior Clerical,*** TOTAL,1334,336,1670,79.9,78.5,,
Employees_All,Crafts and Trades,Foreman,0,2,2,0,5.6,,
Employees_All,Crafts and Trades,Printing Operator,0,2,2,0,13.7,,
Employees_All,Crafts and Trades,Supervisor,1,0,1,100,14.1,,
Employees_All,Crafts and Trades,TJ Mechanic Hvy Vehicle & Eqpt,0,1,1,0,0.8,,
Employees_All,Crafts and Trades,TJ Mechanic Lt Vehicle & Eqpt,0,2,2,0,2.5,,
Employees_All,Crafts and Trades,TS Gardener,0,1,1,0,16.4,,
Employees_All,Crafts and Trades,*** TOTAL,1,8,9,11.1,8.3,,
Employees_All,Clerical Personnel,Applied Leadership,4,1,5,80,88,,
Employees_All,Clerical Personnel,Business Leadership,1,1,2,50,90.5,,
Employees_All,Clerical Personnel,Clerk 9-11,2164,243,2407,89.9,83.4,,
Employees_All,Clerical Personnel,Clerk Postal,35,65,100,35,64.8,65,30
Employees_All,Clerical Personnel,Clerk Stenographer 9-11,733,26,759,96.6,83.8,,
Employees_All,Clerical Personnel,Control Tower Operator,1,6,7,14.3,52.3,4,3
Employees_All,Clerical Personnel,Court Clerk,289,31,320,90.3,89.5,,
Employees_All,Clerical Personnel,Office Assistant,362,30,392,92.3,87,,
Employees_All,Clerical Personnel,Stockworker,11,58,69,15.9,20.8,14,3
Employees_All,Clerical Personnel,*** TOTAL,3600,461,4061,88.6,82.7,,
Employees_All,Intermediate Sales & Service,Admin Officer (AMI),89,31,120,74.2,36.5,,
Employees_All,Intermediate Sales & Service,Applied Leadership,3,4,7,42.9,50.4,,
Employees_All,Intermediate Sales & Service,Business Leadership,0,4,4,0,36.5,,
Employees_All,Intermediate Sales & Service,Commercial Transport Insp,33,121,154,21.4,36.5,56,23
Employees_All,Intermediate Sales & Service,Correctional Serv Growth - 18,383,882,1265,30.3,30.5,,
Employees_All,Intermediate Sales & Service,Correctional Service 21-27,62,154,216,28.7,30.5,,
Employees_All,Intermediate Sales & Service,Deputy Sheriff 14-18,49,295,344,14.2,22,76,27
Employees_All,Intermediate Sales & Service,Deputy Sheriff 21-24,9,56,65,13.8,22,14,5
Employees_All,Intermediate Sales & Service,Deputy Sheriff Instructor,1,5,6,16.7,22,,
Employees_All,Intermediate Sales & Service,Deputy Sheriff Sr Intel Of,2,4,6,33.3,22,,
Employees_All,Intermediate Sales & Service,Food Production Services 11-18,6,1,7,85.7,32.4,,
Employees_All,Intermediate Sales & Service,Health Care Worker,5,5,10,50,83.6,8,3
Employees_All,Intermediate Sales & Service,Insp Fire Commission Off,0,4,4,0,4.5,,
Employees_All,Intermediate Sales & Service,*** TOTAL,642,1566,2208,29.1,29.9,,
Employees_All,Other Sales & Service Personnel,Building Maintenance Wkr,0,1,1,0,31,,
Employees_All,Other Sales & Service Personnel,Food Production Services 7-9,10,1,11,90.9,64.4,,
Employees_All,Other Sales & Service Personnel,*** TOTAL,10,2,12,83.3,61.7,,
Employees_All,Manual Workers,Labourer,2,2,4,50,12.2,,
Employees_All,Manual Workers,Machine Operator,0,13,13,0,5.1,,
Employees_All,Manual Workers,Park Assistant 07-11,11,15,26,42.3,12.7,,
Employees_All,Manual Workers,Pre-Press Technician,0,1,1,0,24.5,,
Employees_All,Manual Workers,Utility Worker,0,1,1,0,12.2,,
Employees_All,Manual Workers,*** TOTAL,13,32,45,28.9,10.7,,
Employees_All,Occupations Not Stated,Aboriginal Youth Intern Prog,1,0,1,100,48.5,,
Employees_All,Occupations Not Stated,Coop Education Train Progm,18,23,41,43.9,48.5,,
Employees_All,Occupations Not Stated,Public Serv Intrnship Pro (AS),3,0,3,100,48.5,,
Employees_All,Occupations Not Stated,*** TOTAL,22,23,45,48.9,48.5,,
Employees_All,"TOTAL, ALL CLASSIFICATIONS",,15410,9599,25009,61.6,56.4,,
